component_id,name,kind,project,backend,mapped_public_sources,covered,n_sources,category,mapped_to_source,note
biomedagent.tool.time_dir,time_dir,tool,BioMedAgent,subprocess,,False,0,"NEEDS_UPSTREAM_CHECKOUT - federated, project not installed",False,
biomedarena.tool.tpmi_phewas,tpmi_phewas,tool,BioMedArena,python,,False,0,MISSING_DEPS - third-party imports absent,False,
genomas.tool.tune_hyperparameters,tune_hyperparameters,tool,GenoMAS,python,clinicaltrials,True,1,ROUTABLE - equivalent live public source available,True,
biomedarena.tool.ukb_topmed_phewas,ukb_topmed_phewas,tool,BioMedArena,python,,False,0,MISSING_DEPS - third-party imports absent,False,
biomedarena.tool.uncategorised_tools,uncategorised_tools,tool,BioMedArena,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
biomedarena.tool.uniprot_lookup,uniprot_lookup,tool,BioMedArena,python,uniprot,True,1,ROUTABLE - equivalent live public source available,True,
stella.tool.uniprot_variants_search,uniprot_variants_search,tool,STELLA,python,uniprot,True,1,ROUTABLE - equivalent live public source available,True,
genomas.tool.validate_and_save_cohort_info,validate_and_save_cohort_info,tool,GenoMAS,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
stella.tool.validate_genes,validate_genes,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
agentomics.tool.validate_split_entries,validate_split_entries,tool,Agentomics,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
agentomics.tool.validate_splits,validate_splits,tool,Agentomics,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
stella.tool.visit_webpage,visit_webpage,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
stella.tool.wikipathways_search,wikipathways_search,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
agentomics.tool.write_raw_split,write_raw_split,tool,Agentomics,python,,False,0,MISSING_DEPS - third-party imports absent,False,
agentomics.tool.write_split,write_split,tool,Agentomics,python,,False,0,MISSING_DEPS - third-party imports absent,False,
biomni.tool.analyze_aortic_diameter_and_geometry,analyze_aortic_diameter_and_geometry,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
biomni.tool.prepare_input_for_nnunet,prepare_input_for_nnunet,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
biomni.tool.quick_deformable_registration,quick_deformable_registration,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
biomni.tool.split_modalities,split_modalities,tool,Biomni,python,,False,0,MISSING_UPSTREAM - upstream package not installed,False,
stella.tool.biomedical_literature_analyzer,biomedical_literature_analyzer,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
stella.tool.disease_gene_search,disease_gene_search,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
stella.tool.gene2phenotype_search,gene2phenotype_search,tool,STELLA,python,,False,0,MISSING_DEPS - third-party imports absent,False,
origenemcp.tool.get_assay_summary_by_cid,get_assay_summary_by_cid,tool,OrigeneMCP,mcp,pubchem,True,1,ROUTABLE - equivalent live public source available,True,
